iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
92,0.7000791202010224,0.06539532502377751,0.994864984805826,0.003283964248558782,1.0844475404975298,0.4704828973196451,0.012810226510046768,0.004480024023900544
93,0.6989072020141787,0.06337905592367654,0.994864984805826,0.003283964248558782,1.0865741826195685,0.47184802072232057,0.012623417606088977,0.004511118963913233
94,0.7008532931121165,0.058833876525262445,0.994864984805826,0.003283964248558782,1.0915832536113521,0.4689637710799184,0.012326043778276253,0.004464815697277072
95,0.6997154657183853,0.056959927408721696,0.994864984805826,0.003283964248558782,1.0972084675035125,0.46841817218982645,0.011983135425647985,0.0042715779722737705
96,0.6986115314846801,0.056445131792301095,0.994864984805826,0.003283964248558782,1.1083461796317178,0.46744623442958066,0.011747050191020252,0.0043351216150278775
97,0.6986115314846801,0.056445131792301095,0.994871644745953,0.0032738276952398227,1.1122281965745011,0.4721283792872207,0.011539503752519258,0.004280911934931727
98,0.6997469523477701,0.05820340162306843,0.994871644745953,0.0032738276952398227,1.1121829764820648,0.4720388023864306,0.01145963759964608,0.004244653242376505
99,0.6988417477696675,0.060888739254184296,0.994864984805826,0.003283964248558782,1.1188742401609666,0.4664771235090829,0.011226267550527264,0.0042709706562723375
100,0.6979998494627427,0.06190473448076358,0.994864984805826,0.003283964248558782,1.1237990008998469,0.46512839716465054,0.01096832898174093,0.004085079275629115
101,0.7016753498341689,0.06374268639795216,0.994864984805826,0.003283964248558782,1.1215552824561774,0.46796494873763184,0.010685836310738262,0.0039267114350512835
102,0.7017651973073941,0.06496725274766114,0.994864984805826,0.003283964248558782,1.1287881713229386,0.47435362233977935,0.010516192600297899,0.0037610253124121056
103,0.7007157041648776,0.06540383970478597,0.994864984805826,0.003283964248558782,1.130363938279491,0.46677021489726456,0.01034364802418494,0.0038646879944211655
104,0.7006448646473935,0.06369930479897147,0.994864984805826,0.003283964248558782,1.1375054090319545,0.4686058396914,0.010223337883878839,0.0038413561628240266
105,0.6967951755422299,0.06427194803181145,0.994864984805826,0.003283964248558782,1.1389501526618582,0.4697775113626021,0.01006497619992024,0.003841857411075125
106,0.6998934691987031,0.065892436790912,0.994864984805826,0.003283964248558782,1.1416202442832581,0.47559540679766843,0.009927263066013017,0.003942493368965572
107,0.7018588235294116,0.06276901861587159,0.994864984805826,0.003283964248558782,1.1483681259248895,0.4756765910231246,0.00978507482931058,0.003932079105424873
108,0.7020218320354827,0.06062161091674366,0.994864984805826,0.003283964248558782,1.149843597712594,0.47916193163232196,0.009695180879127177,0.00388540274679202
109,0.700072331154684,0.059530313800473446,0.994871644745953,0.0032738276952398227,1.156563270952474,0.48728852859701177,0.009585818257470407,0.0038537001525896304
110,0.700072331154684,0.059530313800473446,0.994871644745953,0.0032738276952398227,1.167456411139319,0.4831627406145622,0.009462978563933045,0.0038643576836063227
111,0.700072331154684,0.059530313800473446,0.994871644745953,0.0032738276952398227,1.1739672970996975,0.48855321596436324,0.009367208895217593,0.0038751511470575223
112,0.7011218242972005,0.0590646085362265,0.994864984805826,0.003283964248558782,1.1825231741173194,0.4929559488847771,0.009163684551849401,0.00400545903660552
113,0.7021355444997235,0.05932332898723582,0.994864984805826,0.003283964248558782,1.1870446583560454,0.49451070714663714,0.009053035277101922,0.0040338396435973395
114,0.702256458138811,0.05614562526631809,0.994871644745953,0.0032738276952398227,1.1904969825111618,0.500602672872082,0.008907014083327355,0.0041181022794096
115,0.7033719677385727,0.0567391923958267,0.994871644745953,0.0032738276952398227,1.1906753420753102,0.5025457573514098,0.008843430387223752,0.004078157135383932
116,0.7053958078958079,0.054883462034906995,0.994864984805826,0.003283964248558782,1.1957746869539208,0.5019970778626567,0.008741540025817309,0.0040129458031360615
117,0.7061164087976672,0.058674002577486416,0.994864984805826,0.003283964248558782,1.1970230475946202,0.5092200218974812,0.008694637321275083,0.004022768802665837
118,0.7040573002705355,0.05989245412491283,0.994864984805826,0.003283964248558782,1.1974916312253963,0.5092165268696529,0.008641293635104352,0.004002139311258932
119,0.7020775745698795,0.05926692619106805,0.994864984805826,0.003283964248558782,1.2096266430813831,0.512813956309896,0.008556815681090615,0.0039383571844226134
120,0.7020775745698795,0.05926692619106805,0.994864984805826,0.003283964248558782,1.2078318129453984,0.5135699815931295,0.008512789224722903,0.003925856301907917
121,0.7009182787347572,0.05703099326289336,0.994871644745953,0.0032738276952398227,1.214990081129741,0.5149737705038091,0.008441128383046425,0.00385769532310494
122,0.7009182787347572,0.05703099326289336,0.994871644745953,0.0032738276952398227,1.2155051179783236,0.5190686882221657,0.008374677930794758,0.003885948750029737
123,0.7040573002705355,0.05989245412491283,0.994871644745953,0.0032738276952398227,1.2191668406474494,0.516163621712541,0.008315827299341383,0.003884422376040716
124,0.7040573002705355,0.05989245412491283,0.9948770712708066,0.003269181472071794,1.2257596502614372,0.5116217080673326,0.008182421741813179,0.0038897188303157883
125,0.7040573002705355,0.05989245412491283,0.9948770712708066,0.003269181472071794,1.2261689657963482,0.5112290828242171,0.00814108721265844,0.003859544584556395
126,0.7040573002705355,0.05989245412491283,0.9948770712708066,0.003269181472071794,1.229737152024119,0.5096182687715228,0.008112925234787809,0.0038633698251911573
127,0.7030156336038689,0.060632825119304776,0.9948770712708066,0.003269181472071794,1.2348335577080989,0.5042532711894809,0.00804520412773012,0.003844162330834055
128,0.7030156336038689,0.060632825119304776,0.9948770712708066,0.003269181472071794,1.2383308087949612,0.5065066712213172,0.008000365739139419,0.0038747967453756503
129,0.7012291412291412,0.05731853649626764,0.994871644745953,0.0032738276952398227,1.239257617033687,0.5071050201773949,0.00797157332499009,0.0038700621528420303
130,0.7031317403872148,0.055793514562660095,0.994871644745953,0.0032738276952398227,1.240562379550499,0.5092260124910885,0.007915731520755837,0.0038538930166193493
131,0.7031317403872148,0.055793514562660095,0.994871644745953,0.0032738276952398227,1.2449256776631026,0.511387631663189,0.007872323986745831,0.003843390581655214
132,0.7031317403872148,0.055793514562660095,0.994871644745953,0.0032738276952398227,1.2460786622376563,0.5103378599041782,0.00784549181069066,0.0038417221110088697
133,0.7031317403872148,0.055793514562660095,0.994871644745953,0.0032738276952398227,1.2570428992348635,0.5060506330170447,0.007757994524012153,0.003886761040545913
134,0.7031317403872148,0.055793514562660095,0.994871644745953,0.0032738276952398227,1.2621532873782004,0.5069450386675743,0.007729386459178887,0.0038748245027635394
135,0.7051830224384968,0.0542858607693498,0.994871644745953,0.0032738276952398227,1.2637071535240243,0.5090772904452314,0.007710015051459446,0.0038765069677311266
